pair,partnership_runs
MP Stoinis & RR Pant,266
AJ Finch & S Dhawan,263
MA Agarwal & S Dhawan,262
D Padikkal & YBK Jaiswal,262
JM Sharma & SM Curran,261
N Rana & RA Tripathi,261
MM Ali & RD Gaikwad,260
JM Bairstow & MK Pandey,260
PP Shaw & RR Pant,260
C Green & V Kohli,259
S Dube & SV Samson,258
DJ Hooda & Q de Kock,258
AM Nayar & DJ Bravo,258
E Lewis & RG Sharma,256
KK Nair & Q de Kock,256
IK Pathan & KC Sangakkara,255
A Symonds & TL Suman,255
EJG Morgan & JH Kallis,255
DA Warner & UBT Chand,255
AR Patel & RR Pant,255
AD Russell & RV Uthappa,254
KD Karthik & MK Lomror,254
N Wadhera & SA Yadav,253
RN ten Doeschate & YK Pathan,252
V Kohli & Yuvraj Singh,252
DA Warner & G Gambhir,251
AJ Finch & KL Rahul,250
JR Hopes & SE Marsh,250
MS Dhoni & SPD Smith,249
DA Warner & V Shankar,249
M Vohra & V Sehwag,248
R Parag & SO Hetmyer,248
CH Gayle & SS Tiwary,248
BA Stokes & SPD Smith,246
AJ Finch & BB McCullum,246
SS Tiwary & V Kohli,246
KC Sangakkara & SE Marsh,245
JH Kallis & MK Tiwary,245
Atharva Taide & P Simran Singh,244
E Lewis & YBK Jaiswal,243
LA Pomersbach & SE Marsh,243
KH Pandya & RG Sharma,243
HH Pandya & WP Saha,242
Mandeep Singh & V Kohli,242
Q de Kock & SV Samson,241
CA Lynn & Shubman Gill,241
JM Bairstow & RR Rossouw,240
AJ Finch & DA Warner,240
KD Karthik & Shahbaz Ahmed,239
DB Ravi Teja & Y Venugopal Rao,239
MK Tiwary & MS Dhoni,238
F du Plessis & S Badrinath,238
C Green & Ishan Kishan,237
TM Dilshan & V Sehwag,237
DB Ravi Teja & S Dhawan,236
CA Lynn & KD Karthik,236
RV Uthappa & SP Narine,236
HH Pandya & Tilak Varma,234
MK Pandey & Shakib Al Hasan,234
HM Amla & SE Marsh,233
DA Miller & DJ Hussey,233
EJG Morgan & Shubman Gill,232
BJ Hodge & RA Jadeja,231
AM Rahane & OA Shah,231
KD Karthik & V Kohli,231
DT Christian & JP Duminy,231
GC Smith & NV Ojha,230
AT Rayudu & F du Plessis,230
DPMD Jayawardene & IK Pathan,230
R Ravindra & RD Gaikwad,229
EJG Morgan & RA Tripathi,229
DA Miller & Mandeep Singh,229
Dhruv Jurel & SO Hetmyer,227
MK Pandey & Yuvraj Singh,227
AR Patel & WP Saha,227
S Dhawan & S Sohal,226
M Vijay & S Badrinath,225
AM Rahane & S Dube,225
HH Pandya & SA Yadav,223
AR Patel & DA Miller,222
AL Menaria & OA Shah,221
KK Nair & KL Rahul,221
AJ Finch & KD Karthik,220
RR Pant & SO Hetmyer,220
V Kohli & WG Jacks,220
RV Uthappa & Yuvraj Singh,219
SE Marsh & Yuvraj Singh,219
AB de Villiers & GJ Maxwell,218
AB de Villiers & MM Ali,217
PA Patel & RG Sharma,216
MP Stoinis & S Dhawan,215
JC Buttler & RG Sharma,215
P Simran Singh & SM Curran,215
DR Smith & Ishan Kishan,215
G Gambhir & SP Narine,215
JP Duminy & SR Tendulkar,214
BJ Hodge & SC Ganguly,214
C Green & RG Sharma,214
RG Sharma & Y Venugopal Rao,213
MC Henriques & V Kohli,213
A Badoni & KH Pandya,213
BJ Hodge & JP Faulkner,212
JD Ryder & MK Pandey,212
DR Smith & RG Sharma,212
KK Nair & RR Pant,212
RD Gaikwad & RV Uthappa,211
JA Morkel & S Badrinath,210
KC Sangakkara & S Sohal,210
H Klaasen & Nithish Kumar Reddy,209
JP Faulkner & SPD Smith,208
R Ashwin & SO Hetmyer,208
KH Pandya & N Pooran,207
JM Bairstow & P Simran Singh,207
DJ Bravo & SK Raina,206
MK Pandey & WP Saha,206
KS Williamson & Shakib Al Hasan,206
KH Pandya & KL Rahul,206
MA Agarwal & SS Iyer,203
M Vijay & Q de Kock,202
RA Tripathi & VR Iyer,202
SR Tendulkar & SS Tiwary,202
Rahmanullah Gurbaz & VR Iyer,202
AB de Villiers & S Dube,201
KL Rahul & Mandeep Singh,200
Q de Kock & V Kohli,199
SV Samson & SW Billings,199
AM Rahane & STR Binny,198
D Padikkal & SV Samson,198
AC Gilchrist & Mandeep Singh,197
GJ Maxwell & N Pooran,196
JH Kallis & LRPL Taylor,195
AM Nayar & SR Tendulkar,194
DJ Hussey & Gurkeerat Singh,194
RA Jadeja & RD Gaikwad,194
A Manohar & HH Pandya,194
DPMD Jayawardene & SE Marsh,194
Abdul Samad & H Klaasen,193
G Gambhir & TM Dilshan,193
KK Nair & SS Iyer,193
EJG Morgan & KD Karthik,192
AC Blizzard & SR Tendulkar,192
M Vijay & WP Saha,192
AD Mathews & MK Tiwary,191
KD Karthik & RA Jadeja,191
AC Gilchrist & RG Sharma,191
DA Miller & V Shankar,189
R Ashwin & R Parag,189
KH Pandya & Q de Kock,188
BA Stokes & JC Buttler,187
Anuj Rawat & F du Plessis,187
M Vohra & SE Marsh,187
JP Duminy & KD Karthik,186
BA Stokes & RV Uthappa,186
AR Patel & T Stubbs,186
Anuj Rawat & V Kohli,185
RM Patidar & WG Jacks,184
MR Marsh & PD Salt,184
GJ Maxwell & KS Bharat,184
N Rana & SP Narine,184
Azhar Mahmood & SE Marsh,184
R Tewatia & Rashid Khan,183
AD Russell & SW Billings,183
BB McCullum & F du Plessis,183
AD Hales & S Dhawan,183
DA Warner & MC Juneja,182
RV Uthappa & YK Pathan,182
DA Warner & RR Pant,181
AT Rayudu & PA Patel,181
N Wadhera & Tilak Varma,181
AB de Villiers & MP Stoinis,180
DJ Hooda & Yuvraj Singh,180
AM Nayar & JP Duminy,180
MJ Guptill & WP Saha,180
DA Warner & Y Venugopal Rao,180
LRPL Taylor & V Kohli,180
RV Uthappa & Shakib Al Hasan,178
S Dhawan & SPD Smith,178
KH Pandya & MP Stoinis,177
JM Sharma & S Dhawan,177
GJ Maxwell & RR Pant,177
SO Hetmyer & SV Samson,176
G Gambhir & SA Yadav,176
LS Livingstone & SM Curran,175
F du Plessis & M Vijay,175
B Sai Sudharsan & WP Saha,174
AD Russell & VR Iyer,174
MK Pandey & SA Yadav,174
R Dravid & V Kohli,173
MS Bisla & RS Bopara,173
IK Pathan & RS Bopara,173
DJ Hooda & KH Pandya,173
JD Ryder & RV Uthappa,172
Lalit Yadav & RR Pant,172
RS Bopara & Yuvraj Singh,172
JD Ryder & SC Ganguly,172
KD Karthik & SR Tendulkar,171
AM Rahane & VR Iyer,171
J Botha & LRPL Taylor,171
DJ Hussey & Mandeep Singh,171
RK Singh & VR Iyer,170
ML Hayden & S Badrinath,170
MEK Hussey & WP Saha,170
