pair,partnership_runs
MP Stoinis & R Ashwin,40
AS Raut & J Botha,40
AB Barath & DPMD Jayawardene,40
DJ Mitchell & RA Jadeja,40
AK Markram & R Shepherd,40
Abdul Samad & MK Pandey,40
LRPL Taylor & P Kumar,40
AD Russell & Ramandeep Singh,40
AR Patel & R Tewatia,40
HH Pandya & PA Patel,40
AM Nayar & AM Rahane,40
R Parag & TA Boult,40
PP Chawla & Shubman Gill,40
MJ Santner & RA Jadeja,40
Anmolpreet Singh & Ishan Kishan,40
M Manhas & RV Uthappa,40
R Bhatia & RN ten Doeschate,39
DB Das & RN ten Doeschate,39
WD Parnell & Yuvraj Singh,39
JA Morkel & SS Iyer,39
Ishan Kishan & J Yadav,39
M Ashwin & M Shahrukh Khan,39
BJ Rohrer & CM Gautam,39
K Rabada & OF Smith,39
HH Gibbs & SR Tendulkar,39
Gurkeerat Singh & V Kohli,39
KL Rahul & KV Sharma,39
KM Jadhav & SR Watson,39
CH Gayle & DT Christian,39
SS Tiwary & Yuvraj Singh,39
KS Williamson & Shubman Gill,39
AM Rahane & JP Faulkner,39
G Gambhir & Shoaib Malik,39
CH Morris & DT Christian,39
G Gambhir & IR Jaggi,39
AL Menaria & AS Raut,39
LRPL Taylor & MK Pandey,39
R Vinay Kumar & RV Uthappa,39
PD Salt & VR Iyer,39
CJ Anderson & RR Pant,39
AD Russell & CR Brathwaite,39
MK Lomror & RV Uthappa,39
MS Dhoni & SS Tiwary,39
OA Shah & SR Watson,39
MS Gony & PP Chawla,39
D Wiese & MA Starc,39
M Jansen & Shashank Singh,39
B Sumanth & RJ Harris,39
KA Pollard & S Dhawan,38
HH Pandya & TG Southee,38
JR Hopes & V Sehwag,38
R Parag & SB Dubey,38
Imran Tahir & SM Curran,38
Lalit Yadav & PP Shaw,38
JD Ryder & MD Mishra,38
Harpreet Brar & Harpreet Singh,38
KH Pandya & TG Southee,38
DH Yagnik & STR Binny,38
MS Dhoni & SP Fleming,38
DJ Bravo & RD Gaikwad,38
M Shahrukh Khan & Sikandar Raza,38
A Ashish Reddy & A Mishra,38
S Dhawan & TM Dilshan,38
CH Morris & SS Iyer,38
BA Stokes & R Parag,38
AC Voges & NV Ojha,38
AP Majumdar & CJ Ferguson,38
AD Mathews & B Kumar,38
B Lee & R Bhatia,38
CL White & V Kohli,38
V Sehwag & Y Venugopal Rao,38
Bipul Sharma & Mandeep Singh,37
RK Singh & VG Arora,37
JC Buttler & S Dube,37
BB Samantray & KV Sharma,37
AR Patel & SN Khan,37
GJ Bailey & UT Khawaja,37
LRPL Taylor & Y Venugopal Rao,37
M Kartik & WP Saha,37
PP Chawla & SA Yadav,37
Abdul Samad & DA Warner,37
RA Tripathi & Washington Sundar,37
KA Pollard & KV Sharma,37
AJ Finch & R Ashwin,37
DPMD Jayawardene & PA Patel,37
R Dravid & S Chanderpaul,37
EJG Morgan & KV Sharma,37
JC Buttler & STR Binny,37
AM Nayar & AT Rayudu,37
GH Vihari & KC Sangakkara,37
LR Shukla & WP Saha,37
JR Hazlewood & Mohammed Siraj,37
CJ Anderson & PJ Cummins,37
IK Pathan & LA Pomersbach,37
CR Woakes & SA Yadav,37
R Ashwin & SS Iyer,37
JDP Oram & MEK Hussey,37
CH Gayle & HV Patel,37
SPD Smith & Yuvraj Singh,37
BJ Haddin & JH Kallis,37
Harbhajan Singh & MG Johnson,37
F du Plessis & WG Jacks,37
KH Pandya & Yuvraj Singh,37
AS Raut & YK Pathan,37
RE Levi & RG Sharma,37
CH Morris & STR Binny,37
Harbhajan Singh & JEC Franklin,37
GJ Maxwell & PP Shaw,37
A Symonds & MD Mishra,37
JA Morkel & MEK Hussey,37
SM Curran & SR Watson,37
JM Kemp & MS Dhoni,37
A Symonds & AS Yadav,37
AR Patel & Rasikh Salam,37
DJ Hussey & Salman Butt,37
DR Smith & WPUJC Vaas,37
PC Valthaty & Sunny Singh,36
PP Shaw & TL Seifert,36
SV Samson & T Kohler-Cadmore,36
JM Sharma & PBB Rajapaksa,36
BMAJ Mendis & KM Jadhav,36
MK Tiwary & Yuvraj Singh,36
AR Patel & KL Rahul,36
Azhar Mahmood & DA Miller,36
DJ Hooda & Mandeep Singh,36
AB McDonald & CA Pujara,36
RN ten Doeschate & SA Yadav,36
JO Holder & YBK Jaiswal,36
Rashid Khan & WP Saha,36
KL Rahul & SM Curran,36
LS Livingstone & Shashank Singh,36
Aman Hakim Khan & DA Warner,36
MEK Hussey & R Ashwin,36
P Kumar & V Kohli,36
DJG Sammy & S Dhawan,36
Misbah-ul-Haq & V Kohli,36
R Ashwin & R Powell,36
AD Russell & TK Curran,36
P Negi & STR Binny,36
M Vohra & V Kohli,36
AD Russell & MK Pandey,36
DR Martyn & YK Pathan,36
Mohammad Nabi & V Shankar,36
JA Morkel & Yuvraj Singh,36
Abdul Samad & PK Garg,36
Abdul Samad & Umran Malik,36
Mohammed Siraj & YS Chahal,36
DB Ravi Teja & NLTC Perera,35
RJ Quiney & YK Pathan,35
F Behardien & MP Stoinis,35
MK Pandey & V Kohli,35
E Lewis & SV Samson,35
CH Morris & I Udana,35
MEK Hussey & ML Hayden,35
B Kumar & KS Williamson,35
DA Warner & SD Hope,35
DR Smith & ST Jayasuriya,35
AD Russell & RA Tripathi,35
MA Starc & VR Aaron,35
DT Patil & R Dravid,35
Avesh Khan & MP Stoinis,35
Joginder Sharma & MS Dhoni,35
GC Smith & Kamran Akmal,35
Atharva Taide & S Dhawan,35
DJ Mitchell & JC Buttler,35
A Mishra & M Manhas,35
LH Ferguson & Shivam Mavi,35
JP Duminy & P Negi,35
DPMD Jayawardene & KM Jadhav,35
DJ Bravo & S Badrinath,35
Lalit Yadav & S Dhawan,35
Anuj Rawat & Shahbaz Ahmed,35
EJG Morgan & M Vohra,35
A Badoni & E Lewis,35
JH Kallis & KP Pietersen,35
MV Boucher & SP Goswami,35
Mandeep Singh & R Ashwin,35
AD Mathews & RR Pant,35
H Klaasen & M Jansen,35
AM Rahane & SO Hetmyer,35
JM Sharma & R Dhawan,35
DJ Bravo & P Negi,35
G Gambhir & SP Jackson,35
DA Warner & RE van der Merwe,35
R McLaren & RJ Harris,35
DJG Sammy & KV Sharma,34
AM Rahane & DJ Bravo,34
DJG Sammy & Y Venugopal Rao,34
DW Steyn & V Kohli,34
AB de Villiers & S Dhawan,34
KD Karthik & Swapnil Singh,34
D Kalyankrishna & RG Sharma,34
DJ Mitchell & SV Samson,34
AB de Villiers & SR Watson,34
AJ Tye & KD Karthik,34
Anuj Rawat & MG Bracewell,34
PJ Cummins & Sanvir Singh,34
GJ Maxwell & KL Rahul,34
DJ Willey & SE Rutherford,34
Ishan Kishan & Ramandeep Singh,34
GJ Maxwell & MG Bracewell,34
GJ Bailey & M Vijay,34
IK Pathan & MC Juneja,34
KM Jadhav & Sachin Baby,34
AM Nayar & Mandeep Singh,34
Abishek Porel & SN Khan,34
R Tewatia & TK Curran,34
OA Shah & SV Samson,34
LR Shukla & R Bhatia,34
BCJ Cutting & KH Pandya,34
SO Hetmyer & TA Boult,34
KS Williamson & SP Goswami,34
AJ Hosein & H Klaasen,34
AB de Villiers & AUK Pathan,34
RR Powar & WA Mota,34
JM Bairstow & V Shankar,34
M Manhas & R Bhatia,34
JD Unadkat & Tilak Varma,34
DJ Bravo & DR Smith,34
AD Russell & RN ten Doeschate,34
Bipul Sharma & KD Karthik,34
RE Levi & TL Suman,33
MEK Hussey & RG Sharma,33
Shakib Al Hasan & WP Saha,33
RG Sharma & RP Singh,33
CL White & DJ Harris,33
KK Nair & MN Samuels,33
DS Kulkarni & KA Pollard,33
JR Hopes & Yuvraj Singh,33
MJ Clarke & RV Uthappa,33
C Madan & SR Tendulkar,33
A Mishra & I Sharma,33
Basil Thampi & KD Karthik,33
M Kaif & SS Tiwary,33
AD Mathews & LR Shukla,33
AT Rayudu & HH Pandya,33
BA Stokes & K Gowtham,33
JP Faulkner & VS Malik,33
Avesh Khan & JC Buttler,33
MR Marsh & WD Parnell,33
BCJ Cutting & M Markande,33
MS Dhoni & SR Watson,33
DJ Hooda & Mohammad Nabi,33
DA Miller & PP Chawla,33
MV Boucher & RE van der Merwe,33
EJG Morgan & R Bhatia,33
RJ Harris & TL Suman,33
Mandeep Singh & SR Watson,33
CJ Anderson & MEK Hussey,33
DA Warner & Mohammad Nabi,33
NLTC Perera & RA Jadeja,33
R Vinay Kumar & Z Khan,33
R Ashwin & TA Boult,33
JA Morkel & WP Saha,33
J Botha & UBT Chand,33
N Rana & SP Jackson,33
AM Nayar & Sunny Singh,33
DB Das & RT Ponting,33
RA Jadeja & SN Thakur,33
C de Grandhomme & SN Khan,33
Dhruv Jurel & R Powell,33
M Jansen & N Pooran,33
HV Patel & R Vinay Kumar,33
PJ Cummins & V Viyaskanth,33
CJ McKay & Harbhajan Singh,33
D Wiese & Mandeep Singh,33
BB McCullum & Y Gnaneswara Rao,32
CJ Ferguson & SPD Smith,32
RG Sharma & SB Bangar,32
KA Pollard & R McLaren,32
DR Sams & Tilak Varma,32
JD Unadkat & Shahbaz Ahmed,32
CR Woakes & V Kohli,32
DPMD Jayawardene & OA Shah,32
JDP Oram & MS Dhoni,32
C de Grandhomme & V Kohli,32
AR Patel & SO Hetmyer,32
B Kumar & M Manhas,32
M Kartik & RV Uthappa,32
IK Pathan & TR Birt,32
M Shahrukh Khan & MC Henriques,32
AN Ahmed & Harbhajan Singh,32
DA Warner & TM Dilshan,32
A Mishra & KD Karthik,32
AM Rahane & MK Lomror,32
DA Miller & S Dube,32
AM Nayar & DJ Hussey,32
A Badoni & KR Mayers,32
KM Jadhav & PD Collingwood,32
KD Karthik & V Sehwag,32
KM Jadhav & V Kohli,32
Arshad Khan & KH Pandya,32
AP Tare & SW Billings,32
Harpreet Brar & NT Ellis,32
CH Gayle & RR Rossouw,32
J Syed Mohammad & SS Tiwary,32
AM Nayar & SR Watson,32
A Mishra & TM Dilshan,32
CH Gayle & VH Zol,32
Iqbal Abdulla & R Bhatia,31
AB de Villiers & SO Hetmyer,31
NL McCullum & Yuvraj Singh,31
DB Ravi Teja & RG Sharma,31
Arshad Khan & Yudhvir Singh,31
J Suchith & KA Pollard,31
KW Richardson & SPD Smith,31
R Sathish & SS Tiwary,31
AJ Tye & SM Curran,31
A Symonds & SB Bangar,31
SK Raina & WP Saha,31
BA Stokes & STR Binny,31
JA Richardson & M Shahrukh Khan,31
MK Pandey & RN ten Doeschate,31
CH Gayle & DL Vettori,31
Abdul Samad & JO Holder,31
A Badoni & JO Holder,31
LS Livingstone & MW Short,31
DA Miller & EJG Morgan,31
Azhar Mahmood & PP Chawla,31
LS Livingstone & R Dhawan,31
T Stubbs & TH David,31
AK Markram & KS Williamson,31
JM Sharma & P Simran Singh,31
AB de Villiers & DJG Sammy,31
PD Salt & RK Singh,31
B Chipli & S Dhawan,31
AB de Villiers & DR Sams,31
AD Mathews & SS Tiwary,31
AR Patel & MR Marsh,31
DA Miller & SD Chitnis,31
M Vijay & MA Agarwal,31
KA Pollard & TH David,31
A Mishra & BB Samantray,31
MD Mishra & R Sharma,31
AS Rajpoot & TK Curran,31
DJ Bravo & MJ Santner,31
P Kumar & RJ Harris,31
AN Ahmed & R Sathish,30
RK Singh & Ramandeep Singh,30
SW Billings & VR Iyer,30
AK Markram & Shahbaz Ahmed,30
CH Morris & J Yadav,30
KL Nagarkoti & PJ Cummins,30
GJ Bailey & V Sehwag,30
HH Pandya & MJ McClenaghan,30
DJ Hussey & RT Ponting,30
R Dravid & Z Khan,30
DP Conway & RV Uthappa,30
Aman Hakim Khan & P Dubey,30
R Dravid & SV Samson,30
S Rana & V Kohli,30
DL Chahar & F du Plessis,30
DJG Sammy & NLTC Perera,30
Anuj Rawat & RM Patidar,30
DJ Mitchell & R Parag,30
A Ashish Reddy & RS Bopara,30
MG Johnson & WP Saha,30
B Akhil & CL White,30
MS Bisla & RR Rossouw,30
MS Bisla & SE Marsh,30
BCJ Cutting & JP Faulkner,30
Harpreet Singh & Sikandar Raza,30
DA Miller & R Parag,30
A Ashish Reddy & GH Vihari,30
A Symonds & KA Pollard,30
KA Pollard & M Ashwin,30
AM Nayar & SV Samson,30
KA Pollard & PA Patel,29
NV Ojha & SA Asnodkar,29
AT Rayudu & MG Johnson,29
CH Gayle & Vishnu Vinod,29
Ramandeep Singh & TH David,29
PR Shah & SR Tendulkar,29
EJG Morgan & KL Nagarkoti,29
B Akhil & P Kumar,29
DA Miller & HM Amla,29
I Sharma & LR Shukla,29
CH Gayle & LR Shukla,29
RA Jadeja & SW Billings,29
R Bhatia & S Narwal,29
MM Patel & SK Trivedi,29
R Ravindra & S Dube,29
JO Holder & PVD Chameera,29
SS Tiwary & UT Khawaja,29
JDS Neesham & JP Duminy,29
SK Warne & SR Watson,29
JC Buttler & MK Lomror,29
Ishan Kishan & JP Faulkner,29
J Botha & YK Pathan,29
Kuldeep Yadav & R Powell,29
A Raghuvanshi & AD Russell,29
BB McCullum & MS Bisla,29
Mohammed Siraj & V Kohli,29
DJ Bravo & JP Faulkner,29
B Kumar & BCJ Cutting,29
BB Samantray & NLTC Perera,29
DJ Bravo & MA Khote,29
DA Warner & PK Garg,29
Misbah-ul-Haq & SP Goswami,29
JD Unadkat & MK Tiwary,29
DJ Hooda & E Lewis,29
DJ Thornely & SR Tendulkar,29
A Flintoff & JA Morkel,29
DS Kulkarni & PV Tambe,29
M Manhas & R Ashwin,29
DT Christian & V Shankar,29
VH Zol & YV Takawale,29
GH Vihari & PA Patel,29
MK Tiwary & RA Tripathi,29
CA Lynn & YK Pathan,29
KK Nair & STR Binny,29
SP Jackson & UT Yadav,28
Kuldeep Yadav & Rasikh Salam,28
SM Curran & SN Thakur,28
DA Warner & YK Pathan,28
B Indrajith & SS Iyer,28
GJ Maxwell & HV Patel,28
SB Bangar & Y Venugopal Rao,28
Lalit Yadav & R Powell,28
CJ Ferguson & RV Uthappa,28
DT Christian & SPD Smith,28
B Kumar & NV Ojha,28
Mohammad Hafeez & SC Ganguly,28
MA Agarwal & MP Stoinis,28
MD Mishra & Yuvraj Singh,28
Harpreet Singh & M Manhas,28
M Manhas & PD Collingwood,28
CH Gayle & Yuvraj Singh,28
Misbah-ul-Haq & Z Khan,28
M Manhas & RA Jadeja,28
CV Varun & UT Yadav,28
LA Pomersbach & SM Katich,28
DL Vettori & M Manhas,28
Q de Kock & SD Lad,28
AM Rahane & Harbhajan Singh,28
B Lee & PP Chawla,28
CH Morris & NM Coulter-Nile,28
AK Markram & CH Gayle,28
AD Russell & HF Gurney,28
KD Karthik & LRPL Taylor,28
DJG Sammy & GH Vihari,28
RR Raje & YV Takawale,28
SM Pollock & ST Jayasuriya,28
AS Roy & RK Singh,28
KL Rahul & NV Ojha,28
JP Faulkner & R Bhatia,28
UBT Chand & Y Venugopal Rao,28
MP Stoinis & Mohsin Khan,28
DB Ravi Teja & DW Steyn,28
JM Bairstow & MA Agarwal,28
AD Russell & J Botha,28
AR Patel & S Dhawan,28
AU Rashid & Abdul Samad,28
CH Morris & SV Samson,28
AC Thomas & M Manhas,28
KM Jadhav & Yuvraj Singh,28
AR Patel & PP Shaw,28
DA Miller & MP Stoinis,28
M Jansen & Washington Sundar,28
CR Woakes & TK Curran,28
B Lee & K Goel,27
Abishek Porel & Kuldeep Yadav,27
KL Rahul & M Vohra,27
HV Patel & SN Khan,27
KD Karthik & Shoaib Malik,27
KS Williamson & Virat Singh,27
K Gowtham & MP Stoinis,27
AT Rayudu & SM Curran,27
Harpreet Brar & RD Chahar,27
AT Rayudu & SW Billings,27
Akash Deep & DJ Willey,27
KM Jadhav & MA Agarwal,27
R Ashwin & RR Pant,27
Harbhajan Singh & SK Raina,27
SS Iyer & V Shankar,27
Harbhajan Singh & R Vinay Kumar,27
CH Gayle & DJ Hooda,27
CH Gayle & DJ Hussey,27
RP Singh & Y Venugopal Rao,27
Kuldeep Yadav & LH Ferguson,27
LR Shukla & Mohammad Hafeez,27
S Dhawan & V Shankar,27
AD Russell & JPR Scantlebury-Searles,27
AD Russell & Rasikh Salam,27
CJ Anderson & LMP Simmons,27
Saurav Chauhan & V Kohli,27
CR Brathwaite & JP Duminy,27
RK Singh & Shubman Gill,27
MK Tiwary & R Shukla,27
Mohammed Shami & S Nadeem,27
NV Ojha & RA Jadeja,27
DS Kulkarni & R Bhatia,27
LA Pomersbach & Yuvraj Singh,27
N Saini & SE Marsh,27
A Nortje & Kuldeep Yadav,27
D Padikkal & Q de Kock,27
DA Warner & Rashid Khan,27
Sumit Kumar & T Stubbs,26
KP Pietersen & MK Tiwary,26
AR Patel & Sandeep Sharma,26
RR Pant & SN Thakur,26
CL White & PA Reddy,26
Abdul Samad & V Shankar,26
A Mishra & RR Pant,26
KK Cooper & PV Tambe,26
KD Karthik & RT Ponting,26
AD Nath & KL Rahul,26
R Vinay Kumar & V Kohli,26
JO Holder & YK Pathan,26
M Vohra & SV Samson,26
LS Livingstone & PN Mankad,26
Mohammed Siraj & Navdeep Saini,26
AR Patel & M Vohra,26
AK Markram & Anmolpreet Singh,26
CH Gayle & DJG Sammy,26
Harpreet Singh & MW Short,26
D Wiese & V Kohli,26
KM Jadhav & Parvez Rasool,26
HH Pandya & LMP Simmons,26
JM Sharma & Shivam Singh,26
SK Warne & SM Harwood,26
BR Dunk & CM Gautam,26
F du Plessis & SN Thakur,26
MV Boucher & R Vinay Kumar,26
GJ Maxwell & KA Jamieson,26
F du Plessis & SS Prabhudessai,26
Kamran Akmal & SR Watson,26
CH Morris & P Negi,26
FA Allen & KA Pollard,26
JR Hopes & NV Ojha,26
Kamran Akmal & M Kaif,26
DJG Sammy & JO Holder,26
Abdul Samad & KM Jadhav,26
GC Smith & Sohail Tanvir,26
JP Duminy & R Sathish,26
N Jagadeesan & VR Iyer,26
AD Russell & CV Varun,26
A Kumble & MV Boucher,26
CM Gautam & LMP Simmons,26
HV Patel & PWH de Silva,26
MR Marsh & RG Sharma,25
A Uniyal & AA Jhunjhunwala,25
PP Chawla & SP Narine,25
Aman Hakim Khan & Lalit Yadav,25
B Kumar & KW Richardson,25
M Shahrukh Khan & P Simran Singh,25
Akash Deep & KD Karthik,25
MM Sharma & R Ashwin,25
AC Gilchrist & Y Venugopal Rao,25
JD Ryder & MN Samuels,25
HH Pandya & M Markande,25
AJ Tye & Ishan Kishan,25
K Rabada & MP Stoinis,25
AJ Finch & CH Gayle,25
AJ Finch & PV Tambe,25
DJ Bravo & ER Dwivedi,25
SP Narine & SW Billings,25
JR Hopes & MS Wade,25
CH Morris & PJ Cummins,25
AC Gilchrist & Shahid Afridi,25
CJ Anderson & K Rabada,25
R Vinay Kumar & RV Gomez,25
A Mishra & AB McDonald,25
AM Rahane & RR Pant,25
R Ashwin & TU Deshpande,25
EJG Morgan & V Kohli,25
P Negi & Q de Kock,25
AP Tare & GJ Maxwell,25
Dhruv Jurel & R Ashwin,25
KD Karthik & PJ Sangwan,25
KD Karthik & Shakib Al Hasan,25
GJ Maxwell & SN Khan,25
EJG Morgan & GH Vihari,25
AD Mascarenhas & SR Watson,25
Abhishek Sharma & JO Holder,25
AR Patel & HV Patel,25
Harpreet Brar & Shashank Singh,25
RA Jadeja & RV Gomez,25
P Awana & P Kumar,25
KD Karthik & SL Malinga,24
R Bishnoi & SP Goswami,24
AD Russell & SA Yadav,24
C Munro & S Dhawan,24
Atharva Taide & JM Bairstow,24
B Chipli & W Jaffer,24
AB McDonald & PJ Sangwan,24
TL Suman & Yuvraj Singh,24
Harmeet Singh & PP Chawla,24
JJ Roy & PP Shaw,24
KD Karthik & PD Collingwood,24
JH Kallis & Misbah-ul-Haq,24
DB Das & SC Ganguly,24
M Vijay & RA Jadeja,24
RV Gomez & S Sreesanth,24
AC Voges & AJ Finch,24
JDS Neesham & KD Karthik,24
Dhruv Jurel & TA Boult,24
LS Livingstone & P Simran Singh,24
GB Hogg & STR Binny,24
RR Pant & Sumit Kumar,24
MK Lomror & YBK Jaiswal,24
A Symonds & AC Gilchrist,24
A Chopra & BJ Hodge,24
Bipul Sharma & JP Faulkner,24
AB de Villiers & SA Abbott,24
STR Binny & V Kohli,24
CH Gayle & SR Watson,24
BJ Hodge & MC Henriques,24
G Gambhir & SP Goswami,24
AP Tare & S Dhawan,24
G Gambhir & PP Shaw,24
DB Das & DJ Hussey,24
SD Hope & T Stubbs,24
V Shankar & Yuvraj Singh,24
DJG Sammy & IK Pathan,24
JP Faulkner & SR Watson,24
Harbhajan Singh & JP Duminy,24
C Munro & RR Pant,24
MK Lomror & Shahbaz Ahmed,24
DA Warner & RS Bopara,24
DJ Hooda & JM Bairstow,24
DJ Hooda & JDS Neesham,24
A Badoni & Q de Kock,24
Rahmanullah Gurbaz & SN Thakur,24
JD Unadkat & PJ Cummins,24
GJ Bailey & Gurkeerat Singh,24
K Rabada & RD Chahar,24
MM Sharma & RA Jadeja,24
KM Jadhav & R Shukla,24
AJ Finch & PA Patel,24
CA Lynn & RG Sharma,24
B Kumar & Sandeep Sharma,24
DP Conway & MS Dhoni,24
Aman Hakim Khan & MK Pandey,23
KB Arun Karthik & SS Tiwary,23
Anuj Rawat & GJ Maxwell,23
Shakib Al Hasan & UT Yadav,23
D Ferreira & R Parag,23
MM Sharma & Rashid Khan,23
D Wiese & RK Singh,23
JP Duminy & LR Shukla,23
AD Russell & D Wiese,23
Abishek Porel & MK Pandey,23
AB McDonald & IK Pathan,23
AD Russell & CA Lynn,23
DJ Thornely & ST Jayasuriya,23
AB de Villiers & AD Nath,23
MN Samuels & SC Ganguly,23
SK Warne & YK Pathan,23
Abhishek Sharma & H Klaasen,23
R Parag & YS Chahal,23
Mohammad Nabi & RG Sharma,23
Mandeep Singh & PP Shaw,23
BCJ Cutting & SA Yadav,23
DT Christian & PA Patel,23
M Kartik & SPD Smith,23
IK Pathan & RE van der Merwe,23
M Jansen & Shahbaz Ahmed,23
DW Steyn & P Kumar,23
KM Jadhav & WP Saha,23
IS Sodhi & R Parag,23
CH Gayle & MS Bisla,23
LRPL Taylor & P Negi,23
CJ Jordan & Mohammed Shami,23
RG Sharma & WPUJC Vaas,23
AM Nayar & KD Karthik,23
G Gambhir & PD Collingwood,23
R Tewatia & S Dube,23
B Sai Sudharsan & MS Wade,23
NK Patel & Younis Khan,23
B Sumanth & RG Sharma,23
LA Carseldine & NV Ojha,23
RV Uthappa & WD Parnell,23
R Vinay Kumar & SA Yadav,23
FY Fazal & MJ Lumb,23
FA Allen & M Shahrukh Khan,23
M Morkel & UT Yadav,23
C de Grandhomme & SP Jackson,23
DJ Hooda & GJ Maxwell,23
DJ Hooda & M Shahrukh Khan,23
JJ Bumrah & MJ McClenaghan,23
AB Agarkar & IK Pathan,23
KD Karthik & Mohammed Siraj,23
DR Sams & Ishan Kishan,23
JH Kallis & RN ten Doeschate,23
TL Suman & WPUJC Vaas,23
GR Napier & JP Duminy,23
NV Ojha & RJ Quiney,23
B Chipli & JH Kallis,23
CR Brathwaite & KK Nair,23
M Vohra & PA Patel,23
MA Agarwal & MC Henriques,23
KK Cooper & STR Binny,23
MW Short & PBB Rajapaksa,23
AG Paunikar & SR Watson,23
AB de Villiers & S Rana,22
DJ Willey & Vijaykumar Vyshak,22
NJ Maddinson & PA Patel,22
RV Patel & S Dhawan,22
IK Pathan & KL Rahul,22
SP Narine & YK Pathan,22
TM Srivastava & Yuvraj Singh,22
Ishan Kishan & SS Tiwary,22
B Kumar & M Markande,22
NS Naik & SE Marsh,22
DA Warner & RK Bhui,22
DB Das & G Gambhir,22
JH Kallis & P Kumar,22
BE Hendricks & DA Miller,22
TL Suman & Y Venugopal Rao,22
BJ Hodge & RV Gomez,22
A Ashish Reddy & PA Patel,22
MP Stoinis & PVD Chameera,22
PP Chawla & RR Powar,22
Harbhajan Singh & JJ Bumrah,22
AA Jhunjhunwala & MK Pandey,22
DJ Bravo & KM Jadhav,22
A Symonds & B Sumanth,22
IK Pathan & UT Yadav,22
JJ Roy & KD Karthik,22
SC Ganguly & Yuvraj Singh,22
HR Shokeen & PP Chawla,22
SB Styris & Shahid Afridi,22
KL Rahul & MK Tiwary,22
Abdul Samad & GD Phillips,22
S Dhawan & X Thalaivan Sargunam,22
R Tewatia & SH Johnson,22
GJ Bailey & M Vohra,22
A Mishra & Naveen-ul-Haq,22
RG Sharma & RJ Harris,22
MJ McClenaghan & RG Sharma,22
AD Mathews & NM Coulter-Nile,22
S Dhawan & Y Venugopal Rao,22
CL White & S Sohal,22
KK Cooper & OA Shah,22
KA Pollard & SL Malinga,22
KC Sangakkara & RR Powar,22
AT Rayudu & BR Dunk,22
C Sakariya & R Tewatia,22
P Dogra & S Narwal,22
KM Jadhav & Mohammad Nabi,22
AD Russell & JJ Roy,22
LH Ferguson & Shubman Gill,22
HH Pandya & V Shankar,22
Kuldeep Yadav & PP Chawla,22
GC Smith & M Manhas,22
G Gambhir & V Shankar,22
CH Gayle & GJ Maxwell,21
C de Grandhomme & CR Woakes,21
KH Pandya & PA Patel,21
MS Gony & S Badrinath,21
P Negi & S Badree,21
DJM Short & SV Samson,21
AA Kulkarni & KL Rahul,21
N Pooran & SN Khan,21
S Dhawan & SS Tiwary,21
MA Agarwal & SM Curran,21
AM Rahane & MDKJ Perera,21
DJ Hooda & NV Ojha,21
GJ Maxwell & Washington Sundar,21
A Mishra & KK Nair,21
AT Rayudu & R Sathish,21
KD Karthik & MG Bracewell,21
A Choudhary & S Aravind,21
GJ Bailey & SK Raina,21
KM Jadhav & KP Pietersen,21
B Lee & DPMD Jayawardene,21
SA Yadav & UT Yadav,21
B Kumar & S Dhawan,21
P Kumar & SB Joshi,21
B Kumar & R Sharma,21
AJ Finch & P Kumar,21
A Symonds & SR Tendulkar,21
GH Vihari & RS Bopara,21
LRPL Taylor & Y Nagar,21
IS Sodhi & JD Unadkat,21
A Symonds & Anirudh Singh,21
KM Jadhav & Vishnu Vinod,21
DA Warner & DJG Sammy,21
AS Rajpoot & JC Archer,21
RV Uthappa & YV Takawale,21
JA Morkel & S Tyagi,21
BB McCullum & M Vohra,21
M Muralitharan & SB Jakati,21
K Rabada & R Ashwin,21
D Padikkal & KL Rahul,21
Abdul Samad & Washington Sundar,21
Noor Ahmad & Rashid Khan,21
Shubman Gill & T Banton,21
DJ Hussey & R Sathish,21
D Brevis & SA Yadav,21
AB de Villiers & Shahbaz Ahmed,21
DL Vettori & J Syed Mohammad,21
R Dravid & RE van der Merwe,21
RR Powar & Yuvraj Singh,21
Pankaj Singh & SK Warne,21
MM Ali & P Negi,21
AD Mathews & WP Saha,21
DL Chahar & RA Jadeja,21
Abhishek Sharma & MK Pandey,21
AC Gilchrist & PP Chawla,21
DNT Zoysa & RG Sharma,21
CR Woakes & MK Pandey,21
Anmolpreet Singh & MA Agarwal,21
JJ Roy & PK Garg,21
MC Henriques & SS Tiwary,21
Ramandeep Singh & VR Iyer,21
DS Kulkarni & SL Malinga,20
Kartik Tyagi & S Gopal,20
PWH de Silva & SS Prabhudessai,20
Kuldeep Yadav & Mukesh Kumar,20
BA Stokes & RD Gaikwad,20
CH Morris & RA Jadeja,20
DL Vettori & MF Maharoof,20
DW Steyn & IK Pathan,20
SV Samson & T Shamsi,20
Kuldeep Yadav & MK Pandey,20
KD Karthik & MC Henriques,20
PP Chawla & RV Uthappa,20
F du Plessis & Harbhajan Singh,20
Rasikh Salam & T Stubbs,20
P Negi & SV Samson,20
AC Gilchrist & DA Miller,20
AL Menaria & KK Cooper,20
AC Gilchrist & M Vohra,20
A Mukund & V Kohli,20
Ankit Sharma & DW Steyn,20
A Raghuvanshi & PD Salt,20
KS Williamson & RS Bopara,20
PJ Cummins & RR Pant,20
AC Voges & MM Patel,20
JA Morkel & L Balaji,20
MK Tiwary & WP Saha,20
R Dhawan & SM Curran,20
